"latlon_1","latlon_2","minutes","metres"
"52.213738,0.124159","52.2047,0.133197",18.9,1494
"52.213738,0.124159","52.204115,0.11827",18.2,1463
"52.213738,0.124159","52.205447,0.128666",14.8,1170
"52.213738,0.124159","52.197151,0.12947",27.8,2219
"52.213738,0.124159","52.200312,0.148074",38.4,3068
"52.213738,0.124159","52.194151,0.131287",32.6,2610
"52.213738,0.124159","52.20174,0.124801",21,1666
"52.213738,0.124159","52.202564,0.141934",27.3,2178
"52.213738,0.124159","52.2281,0.145945",27.9,2246
"52.213738,0.124159","52.200081,0.113542",26,2115
"52.213738,0.124159","52.215347,0.110694",14.3,1093
"52.213738,0.124159","52.19519,0.131527",31.2,2497
"52.213738,0.124159","52.175104,0.112942",60.2,4887
"52.213738,0.124159","52.209395,0.118653",9.1,723
"52.213738,0.124159","52.207357,0.129475",12.1,950
"52.213738,0.124159","52.188419,0.152841",53.6,4380
"52.213738,0.124159","52.201476,0.116505",21.2,1733
"52.213738,0.124159","52.222428,0.135906",17.2,1359
"52.213738,0.124159","52.209025,0.118255",9.7,771
"52.213738,0.124159","52.214511,0.124679",1.2,89
"52.213738,0.124159","52.210943,0.112564",11.6,913
"52.213738,0.124159","52.188744,0.138899",42.3,3406
"52.213738,0.124159","52.187377,0.147348",49.2,4002
"52.213738,0.124159","52.229653,0.127701",29.1,2338
"52.213738,0.124159","52.205707,0.134211",17.6,1386
"52.213738,0.124159","52.197912,0.123667",27.8,2243
"52.213738,0.124159","52.204654,0.13277",18.6,1481
"52.213738,0.124159","52.213738,0.124159",0,0
"52.213738,0.124159","52.199286,0.139698",29.7,2376
"52.204222,0.120324","52.207309,0.124159",7.6,646
"52.204222,0.120324","52.204932,0.127807",10.1,851
"52.204222,0.120324","52.198334,0.142623",22.4,1849
"52.204222,0.120324","52.193371,0.133181",19.7,1621
"52.204222,0.120324","52.21817,0.146081",33.7,2808
"52.204222,0.120324","52.230666,0.138805",49,4006
"52.204222,0.120324","52.200288,0.14001",21,1735
"52.204222,0.120324","52.198979,0.134796",17.9,1467
"52.204222,0.120324","52.174445,0.111068",45.9,3754
"52.204222,0.120324","52.21381,0.127675",21.2,1754
"52.204222,0.120324","52.196295,0.125083",12.6,1054
"52.204222,0.120324","52.210223,0.115604",9.9,848
"52.204222,0.120324","52.200195,0.126718",8.6,721
"52.204222,0.120324","52.196903,0.107245",18.9,1577
"52.204222,0.120324","52.186903,0.171259",58.4,4827
"52.204222,0.120324","52.198688,0.135513",19.1,1567
"52.204222,0.120324","52.213078,0.112826",15.7,1251
"52.204222,0.120324","52.200132,0.134222",16.4,1339
"52.204222,0.120324","52.207484,0.125924",8.6,736
"52.204222,0.120324","52.19617,0.126028",13.5,1135
"52.204222,0.120324","52.202093,0.116213",5.8,496
"52.204222,0.120324","52.201027,0.125982",7.4,616
"52.204222,0.120324","52.204605,0.137934",19.2,1585
"52.204222,0.120324","52.196092,0.155114",33,2748
"52.204222,0.120324","52.208346,0.133488",16.2,1345
"52.204222,0.120324","52.202987,0.138925",20.6,1695
"52.204222,0.120324","52.207449,0.122878",6.5,557
"52.204222,0.120324","52.221817,0.118453",32.1,2599
"52.204222,0.120324","52.215658,0.116916",19.6,1619
"52.204222,0.120324","52.20279,0.123446",3.6,295
"52.204222,0.120324","52.210305,0.144955",29.6,2451
"52.204222,0.120324","52.212441,0.112782",14.3,1157
"52.204222,0.120324","52.204852,0.1402",22.4,1856
"52.204222,0.120324","52.2047,0.133197",14.8,1239
"52.204222,0.120324","52.204115,0.11827",2,169
"52.204222,0.120324","52.205447,0.128666",10.5,885
"52.204222,0.120324","52.197151,0.12947",13.7,1127
"52.204222,0.120324","52.200312,0.148074",29.9,2469
"52.204222,0.120324","52.194151,0.131287",18.5,1518
"52.204222,0.120324","52.20174,0.124801",6.2,509
"52.204222,0.120324","52.202564,0.141934",25.1,2076
"52.204222,0.120324","52.2281,0.145945",44.9,3675
"52.204222,0.120324","52.200081,0.113542",9.9,844
"52.204222,0.120324","52.215347,0.110694",19.4,1545
"52.204222,0.120324","52.19519,0.131527",17.1,1405
"52.204222,0.120324","52.175104,0.112942",44.4,3625
"52.204222,0.120324","52.209395,0.118653",8.2,706
"52.204222,0.120324","52.207357,0.129475",11.7,993
"52.204222,0.120324","52.188419,0.152841",41.8,3449
"52.204222,0.120324","52.201476,0.116505",6.5,564
"52.204222,0.120324","52.222428,0.135906",34.2,2788
"52.204222,0.120324","52.209025,0.118255",7.7,658
"52.204222,0.120324","52.214511,0.124679",18.3,1518
"52.204222,0.120324","52.210943,0.112564",13.2,1102
"52.204222,0.120324","52.188744,0.138899",28.2,2314
"52.204222,0.120324","52.187377,0.147348",35.1,2910
"52.204222,0.120324","52.229653,0.127701",43.3,3509
"52.204222,0.120324","52.205707,0.134211",15,1248
"52.204222,0.120324","52.197912,0.123667",9.8,821
"52.204222,0.120324","52.204654,0.13277",16.1,1343
"52.204222,0.120324","52.213738,0.124159",17.1,1429
"52.204222,0.120324","52.199286,0.139698",20.1,1658
"52.207309,0.124159","52.204932,0.127807",6.2,510
"52.207309,0.124159","52.198334,0.142623",21.7,1774
"52.207309,0.124159","52.193371,0.133181",22.7,1849
"52.207309,0.124159","52.21817,0.146081",26.6,2197
"52.207309,0.124159","52.230666,0.138805",43.1,3487
"52.207309,0.124159","52.207309,0.124159",0,0
"52.207309,0.124159","52.200288,0.14001",20.4,1660
"52.207309,0.124159","52.198979,0.134796",18.1,1467
"52.207309,0.124159","52.174445,0.111068",52,4237
"52.207309,0.124159","52.21381,0.127675",14.9,1200
"52.207309,0.124159","52.196295,0.125083",18.7,1531
"52.207309,0.124159","52.210223,0.115604",10.1,840
"52.207309,0.124159","52.200195,0.126718",11.6,949
"52.207309,0.124159","52.196903,0.107245",24.9,2055
"52.207309,0.124159","52.186903,0.171259",57.7,4752
"52.207309,0.124159","52.198688,0.135513",18.5,1492
"52.207309,0.124159","52.213078,0.112826",15.8,1244
"52.207309,0.124159","52.200132,0.134222",15.7,1264
