"latlon_1","latlon_2","minutes","metres"
"52.196903,0.107245","52.209025,0.118255",23.7,1951
"52.196903,0.107245","52.214511,0.124679",34.3,2810
"52.196903,0.107245","52.210943,0.112564",25.1,2038
"52.196903,0.107245","52.188744,0.138899",32,2596
"52.196903,0.107245","52.187377,0.147348",38.9,3192
"52.196903,0.107245","52.229653,0.127701",57.1,4611
"52.196903,0.107245","52.205707,0.134211",30.4,2411
"52.196903,0.107245","52.197912,0.123667",15.7,1236
"52.196903,0.107245","52.204654,0.13277",30.2,2420
"52.196903,0.107245","52.213738,0.124159",33.1,2722
"52.196903,0.107245","52.199286,0.139698",33.1,2654
"52.186903,0.171259","52.198688,0.135513",44.6,3650
"52.186903,0.171259","52.213078,0.112826",72.2,5879
"52.186903,0.171259","52.200132,0.134222",45.1,3693
"52.186903,0.171259","52.207484,0.125924",57.4,4735
"52.186903,0.171259","52.19617,0.126028",50.4,4117
"52.186903,0.171259","52.202093,0.116213",62.2,5117
"52.186903,0.171259","52.201027,0.125982",54,4393
"52.186903,0.171259","52.204605,0.137934",47.8,3926
"52.186903,0.171259","52.196092,0.155114",25.1,2078
"52.186903,0.171259","52.208346,0.133488",57.1,4671
"52.186903,0.171259","52.202987,0.138925",48.7,4003
"52.186903,0.171259","52.207449,0.122878",58.7,4841
"52.186903,0.171259","52.221817,0.118453",83.4,6793
"52.186903,0.171259","52.215658,0.116916",74.5,6071
"52.186903,0.171259","52.20279,0.123446",57.4,4698
"52.186903,0.171259","52.210305,0.144955",53.8,4395
"52.186903,0.171259","52.212441,0.112782",70.8,5784
"52.186903,0.171259","52.204852,0.1402",47.3,3883
"52.186903,0.171259","52.2047,0.133197",50,4117
"52.186903,0.171259","52.204115,0.11827",60.7,4982
"52.186903,0.171259","52.205447,0.128666",53,4363
"52.186903,0.171259","52.197151,0.12947",48,3906
"52.186903,0.171259","52.200312,0.148074",36.7,3006
"52.186903,0.171259","52.194151,0.131287",44.4,3603
"52.186903,0.171259","52.20174,0.124801",52.9,4325
"52.186903,0.171259","52.202564,0.141934",45.3,3720
"52.186903,0.171259","52.2281,0.145945",80.4,6578
"52.186903,0.171259","52.200081,0.113542",64.7,5276
"52.186903,0.171259","52.215347,0.110694",75.9,6172
"52.186903,0.171259","52.19519,0.131527",44.9,3646
"52.186903,0.171259","52.175104,0.112942",61.7,5001
"52.186903,0.171259","52.209395,0.118653",64.7,5333
"52.186903,0.171259","52.207357,0.129475",56.1,4630
"52.186903,0.171259","52.188419,0.152841",22.8,1880
"52.186903,0.171259","52.201476,0.116505",61.5,5064
"52.186903,0.171259","52.222428,0.135906",73.2,5987
"52.186903,0.171259","52.209025,0.118255",64.2,5285
"52.186903,0.171259","52.214511,0.124679",67.1,5508
"52.186903,0.171259","52.210943,0.112564",69.7,5730
"52.186903,0.171259","52.188744,0.138899",33.4,2701
"52.186903,0.171259","52.187377,0.147348",25.7,2105
"52.186903,0.171259","52.229653,0.127701",85.3,6965
"52.186903,0.171259","52.205707,0.134211",52.1,4272
"52.186903,0.171259","52.197912,0.123667",54.8,4466
"52.186903,0.171259","52.204654,0.13277",52.1,4280
"52.186903,0.171259","52.213738,0.124159",67.5,5544
"52.186903,0.171259","52.199286,0.139698",39.3,3215
"52.198688,0.135513","52.213078,0.112826",32.3,2619
"52.198688,0.135513","52.200132,0.134222",2.7,231
"52.198688,0.135513","52.207484,0.125924",17.6,1476
"52.198688,0.135513","52.19617,0.126028",11.3,953
"52.198688,0.135513","52.202093,0.116213",22.4,1858
"52.198688,0.135513","52.201027,0.125982",11.7,970
"52.198688,0.135513","52.204605,0.137934",9.7,814
"52.198688,0.135513","52.196092,0.155114",18.6,1571
"52.198688,0.135513","52.208346,0.133488",18.1,1500
"52.198688,0.135513","52.202987,0.138925",8.9,744
"52.198688,0.135513","52.207449,0.122878",18.9,1582
"52.198688,0.135513","52.221817,0.118453",43.6,3534
"52.198688,0.135513","52.215658,0.116916",34.7,2812
"52.198688,0.135513","52.20279,0.123446",17.5,1439
"52.198688,0.135513","52.210305,0.144955",26.2,2178
"52.198688,0.135513","52.212441,0.112782",31,2525
"52.198688,0.135513","52.204852,0.1402",12.1,1014
"52.198688,0.135513","52.2047,0.133197",10.2,858
"52.198688,0.135513","52.204115,0.11827",20.9,1723
"52.198688,0.135513","52.205447,0.128666",13.2,1104
"52.198688,0.135513","52.197151,0.12947",7.3,615
"52.198688,0.135513","52.200312,0.148074",15.5,1292
"52.198688,0.135513","52.194151,0.131287",10.2,853
"52.198688,0.135513","52.20174,0.124801",13,1066
"52.198688,0.135513","52.202564,0.141934",10.7,899
"52.198688,0.135513","52.2281,0.145945",49.6,4039
"52.198688,0.135513","52.200081,0.113542",24.3,2004
"52.198688,0.135513","52.215347,0.110694",36.1,2913
"52.198688,0.135513","52.19519,0.131527",8.3,704
"52.198688,0.135513","52.175104,0.112942",43.9,3628
"52.198688,0.135513","52.209395,0.118653",24.9,2074
"52.198688,0.135513","52.207357,0.129475",16.3,1371
"52.198688,0.135513","52.188419,0.152841",26.8,2249
"52.198688,0.135513","52.201476,0.116505",21.7,1805
"52.198688,0.135513","52.222428,0.135906",38.9,3153
"52.198688,0.135513","52.209025,0.118255",24.4,2026
"52.198688,0.135513","52.214511,0.124679",27.3,2249
"52.198688,0.135513","52.210943,0.112564",29.9,2470
"52.198688,0.135513","52.188744,0.138899",18.6,1547
"52.198688,0.135513","52.187377,0.147348",24.6,2072
"52.198688,0.135513","52.229653,0.127701",50.9,4132
"52.198688,0.135513","52.205707,0.134211",12.3,1013
"52.198688,0.135513","52.197912,0.123667",13.7,1139
"52.198688,0.135513","52.204654,0.13277",12.2,1021
"52.198688,0.135513","52.213738,0.124159",27.6,2285
"52.198688,0.135513","52.199286,0.139698",5.8,481
"52.213078,0.112826","52.200132,0.134222",29,2391
"52.213078,0.112826","52.207484,0.125924",16.2,1369
"52.213078,0.112826","52.19617,0.126028",28.9,2394
"52.213078,0.112826","52.202093,0.116213",17.7,1495
"52.213078,0.112826","52.201027,0.125982",20,1668
"52.213078,0.112826","52.204605,0.137934",27.4,2259
"52.213078,0.112826","52.196092,0.155114",45.6,3800
"52.213078,0.112826","52.208346,0.133488",22.3,1840
"52.213078,0.112826","52.202987,0.138925",30,2465
"52.213078,0.112826","52.207449,0.122878",13.6,1155
"52.213078,0.112826","52.221817,0.118453",16.9,1380
"52.213078,0.112826","52.215658,0.116916",5.3,451
"52.213078,0.112826","52.20279,0.123446",18.2,1505
"52.213078,0.112826","52.210305,0.144955",34.6,2899
"52.213078,0.112826","52.212441,0.112782",1.1,95
"52.213078,0.112826","52.204852,0.1402",31.6,2587
"52.213078,0.112826","52.2047,0.133197",24.8,2063
"52.213078,0.112826","52.204115,0.11827",15.3,1286
"52.213078,0.112826","52.205447,0.128666",20.2,1689
"52.213078,0.112826","52.197151,0.12947",26.4,2179
"52.213078,0.112826","52.200312,0.148074",42.5,3521
"52.213078,0.112826","52.194151,0.131287",31.1,2570
"52.213078,0.112826","52.20174,0.124801",18.8,1561
"52.213078,0.112826","52.202564,0.141934",34,2807
"52.213078,0.112826","52.2281,0.145945",38.5,3171
"52.213078,0.112826","52.200081,0.113542",19.6,1652
"52.213078,0.112826","52.215347,0.110694",4.7,363
"52.213078,0.112826","52.19519,0.131527",29.8,2457
"52.213078,0.112826","52.175104,0.112942",57.4,4709
"52.213078,0.112826","52.209395,0.118653",8,693
"52.213078,0.112826","52.207357,0.129475",18.9,1567
"52.213078,0.112826","52.188419,0.152841",54.4,4501
"52.213078,0.112826","52.201476,0.116505",18.4,1556
"52.213078,0.112826","52.222428,0.135906",27.9,2284
"52.213078,0.112826","52.209025,0.118255",7.5,645
"52.213078,0.112826","52.214511,0.124679",11.9,1013
"52.213078,0.112826","52.210943,0.112564",3.5,315
"52.213078,0.112826","52.188744,0.138899",40.9,3366
"52.213078,0.112826","52.187377,0.147348",47.8,3962
"52.213078,0.112826","52.229653,0.127701",28.1,2290
"52.213078,0.112826","52.205707,0.134211",23.6,1954
"52.213078,0.112826","52.197912,0.123667",24.9,2066
"52.213078,0.112826","52.204654,0.13277",24.6,2049
"52.213078,0.112826","52.213738,0.124159",11.9,1001
"52.213078,0.112826","52.199286,0.139698",32.8,2710
"52.200132,0.134222","52.207484,0.125924",14.9,1248
"52.200132,0.134222","52.19617,0.126028",11.6,975
"52.200132,0.134222","52.202093,0.116213",19.6,1630
"52.200132,0.134222","52.201027,0.125982",10.8,888
"52.200132,0.134222","52.204605,0.137934",7.5,615
"52.200132,0.134222","52.196092,0.155114",19.2,1615
"52.200132,0.134222","52.208346,0.133488",15.5,1272
"52.200132,0.134222","52.202987,0.138925",6.7,545
"52.200132,0.134222","52.207449,0.122878",16.2,1354
"52.200132,0.134222","52.221817,0.118453",40.9,3306
"52.200132,0.134222","52.215658,0.116916",32,2584
"52.200132,0.134222","52.20279,0.123446",14.8,1211
"52.200132,0.134222","52.210305,0.144955",24.9,2045
"52.200132,0.134222","52.212441,0.112782",28.3,2297
"52.200132,0.134222","52.204852,0.1402",9.9,819
"52.200132,0.134222","52.2047,0.133197",7.5,630
"52.200132,0.134222","52.204115,0.11827",18.2,1495
"52.200132,0.134222","52.205447,0.128666",10.5,876
"52.200132,0.134222","52.197151,0.12947",7.6,636
"52.200132,0.134222","52.200312,0.148074",16.1,1336
"52.200132,0.134222","52.194151,0.131287",10.8,893
"52.200132,0.134222","52.20174,0.124801",10.3,838
"52.200132,0.134222","52.202564,0.141934",11.3,943
"52.200132,0.134222","52.2281,0.145945",47.4,3860
"52.200132,0.134222","52.200081,0.113542",23.8,1979
"52.200132,0.134222","52.215347,0.110694",33.4,2685
"52.200132,0.134222","52.19519,0.131527",9.4,780
"52.200132,0.134222","52.175104,0.112942",44.2,3650
"52.200132,0.134222","52.209395,0.118653",22.2,1846
"52.200132,0.134222","52.207357,0.129475",13.6,1143
"52.200132,0.134222","52.188419,0.152841",30.2,2529
"52.200132,0.134222","52.201476,0.116505",19,1577
"52.200132,0.134222","52.222428,0.135906",36.7,2973
"52.200132,0.134222","52.209025,0.118255",21.7,1798
"52.200132,0.134222","52.214511,0.124679",24.6,2021
"52.200132,0.134222","52.210943,0.112564",27.2,2242
"52.200132,0.134222","52.188744,0.138899",20.5,1689
"52.200132,0.134222","52.187377,0.147348",27.4,2285
"52.200132,0.134222","52.229653,0.127701",48.7,3952
"52.200132,0.134222","52.205707,0.134211",9.7,785
"52.200132,0.134222","52.197912,0.123667",13.4,1100
"52.200132,0.134222","52.204654,0.13277",9.6,793
"52.200132,0.134222","52.213738,0.124159",24.9,2057
"52.200132,0.134222","52.199286,0.139698",6.3,525
"52.207484,0.125924","52.19617,0.126028",19.6,1611
"52.207484,0.125924","52.202093,0.116213",13.6,1131
"52.207484,0.125924","52.201027,0.125982",10.4,843
"52.207484,0.125924","52.204605,0.137934",12.4,992
"52.207484,0.125924","52.196092,0.155114",32.1,2657
"52.207484,0.125924","52.208346,0.133488",7.4,573
"52.207484,0.125924","52.202987,0.138925",15,1198
"52.207484,0.125924","52.207449,0.122878",2.6,215
"52.207484,0.125924","52.221817,0.118453",27.8,2206
"52.207484,0.125924","52.215658,0.116916",18.9,1484
"52.207484,0.125924","52.20279,0.123446",8.5,680
"52.207484,0.125924","52.210305,0.144955",21,1715
"52.207484,0.125924","52.212441,0.112782",16,1274
"52.207484,0.125924","52.204852,0.1402",16.6,1321
"52.207484,0.125924","52.2047,0.133197",9.8,796
"52.207484,0.125924","52.204115,0.11827",9.9,809
"52.207484,0.125924","52.205447,0.128666",4.4,362
"52.207484,0.125924","52.197151,0.12947",16.7,1354
"52.207484,0.125924","52.200312,0.148074",29,2378
"52.207484,0.125924","52.194151,0.131287",21.5,1745
"52.207484,0.125924","52.20174,0.124801",9.2,736
"52.207484,0.125924","52.202564,0.141934",19,1540
"52.207484,0.125924","52.2281,0.145945",37.5,3031
"52.207484,0.125924","52.200081,0.113542",17.8,1480
"52.207484,0.125924","52.215347,0.110694",21.1,1662
"52.207484,0.125924","52.19519,0.131527",20.1,1632
"52.207484,0.125924","52.175104,0.112942",50.5,4107
"52.207484,0.125924","52.209395,0.118653",8.9,741
"52.207484,0.125924","52.207357,0.129475",4,301
"52.207484,0.125924","52.188419,0.152841",43.1,3570
"52.207484,0.125924","52.201476,0.116505",12.7,1046
"52.207484,0.125924","52.222428,0.135906",26.9,2144
"52.207484,0.125924","52.209025,0.118255",9.3,775
"52.207484,0.125924","52.214511,0.124679",11.5,921
"52.207484,0.125924","52.210943,0.112564",14.8,1220
"52.207484,0.125924","52.188744,0.138899",31.2,2541
"52.207484,0.125924","52.187377,0.147348",38.1,3137
"52.207484,0.125924","52.229653,0.127701",38.8,3123
"52.207484,0.125924","52.205707,0.134211",8.5,688
"52.207484,0.125924","52.197912,0.123667",15.9,1302
"52.207484,0.125924","52.204654,0.13277",9.6,783
"52.207484,0.125924","52.213738,0.124159",11.8,957
"52.207484,0.125924","52.199286,0.139698",19.3,1567
"52.19617,0.126028","52.202093,0.116213",13.8,1123
"52.19617,0.126028","52.201027,0.125982",9.5,768
"52.19617,0.126028","52.204605,0.137934",20.1,1622
"52.19617,0.126028","52.196092,0.155114",29.4,2440
"52.19617,0.126028","52.208346,0.133488",22.2,1809
"52.19617,0.126028","52.202987,0.138925",18.7,1520
"52.19617,0.126028","52.207449,0.122878",19.9,1645
"52.19617,0.126028","52.221817,0.118453",46.4,3742
"52.19617,0.126028","52.215658,0.116916",33.9,2761
"52.19617,0.126028","52.20279,0.123446",12.2,985
"52.19617,0.126028","52.210305,0.144955",33.1,2692
"52.19617,0.126028","52.212441,0.112782",28.6,2299
"52.19617,0.126028","52.204852,0.1402",22,1793
"52.19617,0.126028","52.2047,0.133197",15.7,1277
"52.19617,0.126028","52.204115,0.11827",14.4,1179
"52.19617,0.126028","52.205447,0.128666",16.3,1330
"52.19617,0.126028","52.197151,0.12947",5.1,410
"52.19617,0.126028","52.200312,0.148074",26.3,2161
"52.19617,0.126028","52.194151,0.131287",7.7,620
"52.19617,0.126028","52.20174,0.124801",10.9,875
"52.19617,0.126028","52.202564,0.141934",21.5,1767
"52.19617,0.126028","52.2281,0.145945",55.6,4507
"52.19617,0.126028","52.200081,0.113542",14.2,1147
"52.19617,0.126028","52.215347,0.110694",33.7,2687
"52.19617,0.126028","52.19519,0.131527",6.3,507
"52.19617,0.126028","52.175104,0.112942",33.4,2735
"52.19617,0.126028","52.209395,0.118653",22.5,1848
"52.19617,0.126028","52.207357,0.129475",19.1,1571
"52.19617,0.126028","52.188419,0.152841",31,2552
"52.19617,0.126028","52.201476,0.116505",13.1,1067
"52.19617,0.126028","52.222428,0.135906",44.9,3620
"52.19617,0.126028","52.209025,0.118255",21.9,1800
"52.19617,0.126028","52.214511,0.124679",30.1,2450
"52.19617,0.126028","52.210943,0.112564",27.4,2245
"52.19617,0.126028","52.188744,0.138899",17.5,1416
"52.19617,0.126028","52.187377,0.147348",24.3,2012
"52.19617,0.126028","52.229653,0.127701",56.9,4599
"52.19617,0.126028","52.205707,0.134211",17.9,1432
"52.19617,0.126028","52.197912,0.123667",3.6,296
"52.19617,0.126028","52.204654,0.13277",17.8,1440
"52.19617,0.126028","52.213738,0.124159",30.4,2486
"52.19617,0.126028","52.199286,0.139698",16.5,1350
"52.202093,0.116213","52.201027,0.125982",11.2,907
"52.202093,0.116213","52.204605,0.137934",23,1876
"52.202093,0.116213","52.196092,0.155114",36.8,3039
"52.202093,0.116213","52.208346,0.133488",20.4,1678
"52.202093,0.116213","52.202987,0.138925",24.4,1986
"52.202093,0.116213","52.207449,0.122878",11.1,917
"52.202093,0.116213","52.221817,0.118453",35.3,2843
"52.202093,0.116213","52.215658,0.116916",22.8,1862
"52.202093,0.116213","52.20279,0.123446",7.4,586
"52.202093,0.116213","52.210305,0.144955",34.2,2811
"52.202093,0.116213","52.212441,0.112782",17.5,1400
"52.202093,0.116213","52.204852,0.1402",26.2,2147
"52.202093,0.116213","52.2047,0.133197",18.6,1530
"52.202093,0.116213","52.204115,0.11827",4,319
"52.202093,0.116213","52.205447,0.128666",14.9,1229
"52.202093,0.116213","52.197151,0.12947",17.3,1384
"52.202093,0.116213","52.200312,0.148074",33.7,2760
"52.202093,0.116213","52.194151,0.131287",22.1,1775
"52.202093,0.116213","52.2281,0.145945",48,3919
"52.202093,0.116213","52.200081,0.113542",4.2,349
"52.202093,0.116213","52.215347,0.110694",22.6,1788
"52.202093,0.116213","52.19519,0.131527",20.7,1662
"52.202093,0.116213","52.175104,0.112942",42.4,3439
"52.202093,0.116213","52.209395,0.118653",11.4,949
"52.202093,0.116213","52.207357,0.129475",16,1326
"52.202093,0.116213","52.188419,0.152841",45.4,3707
"52.202093,0.116213","52.201476,0.116505",1.4,118
"52.202093,0.116213","52.222428,0.135906",37.4,3032
"52.202093,0.116213","52.209025,0.118255",10.8,901
"52.202093,0.116213","52.214511,0.124679",21.4,1761
"52.202093,0.116213","52.210943,0.112564",16.3,1346
"52.202093,0.116213","52.188744,0.138899",31.9,2571
"52.202093,0.116213","52.187377,0.147348",38.7,3167
"52.202093,0.116213","52.229653,0.127701",46.5,3753
"52.202093,0.116213","52.205707,0.134211",19.3,1581
"52.202093,0.116213","52.197912,0.123667",9.9,795
"52.202093,0.116213","52.204654,0.13277",20.3,1675
"52.202093,0.116213","52.213738,0.124159",20.2,1673
"52.202093,0.116213","52.199286,0.139698",23.9,1949
"52.201027,0.125982","52.204605,0.137934",14.1,1154
"52.201027,0.125982","52.196092,0.155114",27.6,2297
"52.201027,0.125982","52.208346,0.133488",14.3,1186
"52.201027,0.125982","52.202987,0.138925",15.2,1244
"52.201027,0.125982","52.207449,0.122878",10.4,878
"52.201027,0.125982","52.221817,0.118453",37.2,3016
"52.201027,0.125982","52.215658,0.116916",24.7,2035
"52.201027,0.125982","52.20279,0.123446",6,487
"52.201027,0.125982","52.210305,0.144955",27.2,2225
"52.201027,0.125982","52.212441,0.112782",19.4,1573
"52.201027,0.125982","52.204852,0.1402",17.4,1426
"52.201027,0.125982","52.2047,0.133197",9.8,809
"52.201027,0.125982","52.204115,0.11827",9.3,772
"52.201027,0.125982","52.205447,0.128666",7,593
"52.201027,0.125982","52.197151,0.12947",6.3,511
"52.201027,0.125982","52.200312,0.148074",24.5,2018
"52.201027,0.125982","52.194151,0.131287",11.1,902
"52.201027,0.125982","52.20174,0.124801",1.4,107
"52.201027,0.125982","52.202564,0.141934",19.7,1625
"52.201027,0.125982","52.2281,0.145945",46.9,3822
"52.201027,0.125982","52.200081,0.113542",14.9,1255
"52.201027,0.125982","52.215347,0.110694",24.6,1961
"52.201027,0.125982","52.19519,0.131527",9.7,789
"52.201027,0.125982","52.175104,0.112942",40.9,3352
"52.201027,0.125982","52.209395,0.118653",13.3,1122
"52.201027,0.125982","52.207357,0.129475",9.8,834
"52.201027,0.125982","52.188419,0.152841",34.4,2833
"52.201027,0.125982","52.201476,0.116505",10.1,853
"52.201027,0.125982","52.222428,0.135906",36.2,2935
"52.201027,0.125982","52.209025,0.118255",12.8,1074
"52.201027,0.125982","52.214511,0.124679",20.8,1713
"52.201027,0.125982","52.210943,0.112564",18.3,1519
"52.201027,0.125982","52.188744,0.138899",20.9,1698
"52.201027,0.125982","52.187377,0.147348",27.8,2294
"52.201027,0.125982","52.229653,0.127701",48.1,3914
"52.201027,0.125982","52.205707,0.134211",11.9,964
"52.201027,0.125982","52.197912,0.123667",6.2,511
"52.201027,0.125982","52.204654,0.13277",11.8,973
"52.201027,0.125982","52.213738,0.124159",21.2,1748
"52.201027,0.125982","52.199286,0.139698",14.7,1207
"52.204605,0.137934","52.196092,0.155114",22.1,1848
"52.204605,0.137934","52.208346,0.133488",8.8,697
"52.204605,0.137934","52.202987,0.138925",3.2,264
"52.204605,0.137934","52.207449,0.122878",14.6,1196
"52.204605,0.137934","52.221817,0.118453",36.8,2939
"52.204605,0.137934","52.215658,0.116916",27.9,2217
"52.204605,0.137934","52.20279,0.123446",17.9,1456
"52.204605,0.137934","52.210305,0.144955",16.8,1392
"52.204605,0.137934","52.212441,0.112782",27,2164
"52.204605,0.137934","52.204852,0.1402",3.6,303
"52.204605,0.137934","52.2047,0.133197",4.2,345
"52.204605,0.137934","52.204115,0.11827",19.8,1610
"52.204605,0.137934","52.205447,0.128666",9.3,768
"52.204605,0.137934","52.197151,0.12947",15.3,1251
"52.204605,0.137934","52.200312,0.148074",19,1569
"52.204605,0.137934","52.194151,0.131287",18.5,1508
"52.204605,0.137934","52.20174,0.124801",13.4,1084
"52.204605,0.137934","52.202564,0.141934",6.6,548
"52.204605,0.137934","52.2281,0.145945",40.2,3253
"52.204605,0.137934","52.200081,0.113542",26.9,2224
"52.204605,0.137934","52.215347,0.110694",32.1,2552
"52.204605,0.137934","52.19519,0.131527",17.1,1395
"52.204605,0.137934","52.175104,0.112942",51.4,4207
"52.204605,0.137934","52.209395,0.118653",19.9,1631
"52.204605,0.137934","52.207357,0.129475",9.6,776
"52.204605,0.137934","52.188419,0.152841",33.1,2762
"52.204605,0.137934","52.201476,0.116505",22.1,1822
"52.204605,0.137934","52.222428,0.135906",29.5,2366
"52.204605,0.137934","52.209025,0.118255",20.4,1665
"52.204605,0.137934","52.214511,0.124679",20.6,1655
"52.204605,0.137934","52.210943,0.112564",25.9,2110
"52.204605,0.137934","52.188744,0.138899",25.3,2082
"52.204605,0.137934","52.187377,0.147348",31,2586
"52.204605,0.137934","52.229653,0.127701",41.5,3345
"52.204605,0.137934","52.205707,0.134211",4.7,351
"52.204605,0.137934","52.197912,0.123667",16.8,1365
"52.204605,0.137934","52.204654,0.13277",6,471
"52.204605,0.137934","52.213738,0.124159",20.9,1690
"52.204605,0.137934","52.199286,0.139698",9.2,758
"52.196092,0.155114","52.208346,0.133488",31.9,2592
"52.196092,0.155114","52.202987,0.138925",23.6,1925
"52.196092,0.155114","52.207449,0.122878",33.6,2763
"52.196092,0.155114","52.221817,0.118453",58.2,4715
"52.196092,0.155114","52.215658,0.116916",49.4,3993
"52.196092,0.155114","52.20279,0.123446",32.2,2620
"52.196092,0.155114","52.210305,0.144955",30.3,2436
"52.196092,0.155114","52.212441,0.112782",45.7,3706
"52.196092,0.155114","52.204852,0.1402",22.1,1805
"52.196092,0.155114","52.2047,0.133197",24.9,2038
"52.196092,0.155114","52.204115,0.11827",35.5,2904
"52.196092,0.155114","52.205447,0.128666",27.9,2285
"52.196092,0.155114","52.197151,0.12947",25.7,2101
"52.196092,0.155114","52.200312,0.148074",11.5,928
"52.196092,0.155114","52.194151,0.131287",26.8,2182
"52.196092,0.155114","52.20174,0.124801",27.7,2247
"52.196092,0.155114","52.202564,0.141934",20.1,1642
"52.196092,0.155114","52.2281,0.145945",56.9,4619
"52.196092,0.155114","52.200081,0.113542",41.2,3388
"52.196092,0.155114","52.215347,0.110694",50.8,4094
"52.196092,0.155114","52.19519,0.131527",24.9,2032
"52.196092,0.155114","52.175104,0.112942",58.2,4748
"52.196092,0.155114","52.209395,0.118653",39.6,3255
"52.196092,0.155114","52.207357,0.129475",31,2552
"52.196092,0.155114","52.188419,0.152841",11.8,964
"52.196092,0.155114","52.201476,0.116505",36.4,2985
"52.196092,0.155114","52.222428,0.135906",49.7,4027
"52.196092,0.155114","52.209025,0.118255",39,3207
"52.196092,0.155114","52.214511,0.124679",42,3430
"52.196092,0.155114","52.210943,0.112564",44.5,3651
"52.196092,0.155114","52.188744,0.138899",22.1,1786
"52.196092,0.155114","52.187377,0.147348",18.4,1504
"52.196092,0.155114","52.229653,0.127701",61.9,5006
"52.196092,0.155114","52.205707,0.134211",27,2194
"52.196092,0.155114","52.197912,0.123667",30.7,2509
"52.196092,0.155114","52.204654,0.13277",26.9,2202
"52.196092,0.155114","52.213738,0.124159",42.3,3466
"52.196092,0.155114","52.199286,0.139698",14.2,1137
"52.208346,0.133488","52.202987,0.138925",11.7,933
"52.208346,0.133488","52.207449,0.122878",9.7,788
"52.208346,0.133488","52.221817,0.118453",30.3,2428
"52.208346,0.133488","52.215658,0.116916",21.5,1706
"52.208346,0.133488","52.20279,0.123446",15.5,1259
"52.208346,0.133488","52.210305,0.144955",14.8,1195
"52.208346,0.133488","52.212441,0.112782",21.9,1745
"52.208346,0.133488","52.204852,0.1402",9.8,787
"52.208346,0.133488","52.2047,0.133197",7.9,642
"52.208346,0.133488","52.204115,0.11827",17,1382
"52.208346,0.133488","52.205447,0.128666",7.3,608
"52.208346,0.133488","52.197151,0.12947",18.9,1543
"52.208346,0.133488","52.200312,0.148074",25.3,2034
"52.208346,0.133488","52.194151,0.131287",23.7,1933
"52.208346,0.133488","52.20174,0.124801",13.5,1104
"52.208346,0.133488","52.202564,0.141934",14.3,1161
"52.208346,0.133488","52.2281,0.145945",35,2840
"52.208346,0.133488","52.200081,0.113542",24.4,2027
"52.208346,0.133488","52.215347,0.110694",27,2133
"52.208346,0.133488","52.19519,0.131527",22.4,1820
"52.208346,0.133488","52.175104,0.112942",53.6,4394
"52.208346,0.133488","52.209395,0.118653",14.8,1212
"52.208346,0.133488","52.207357,0.129475",4.7,388
"52.208346,0.133488","52.188419,0.152841",42.4,3506
"52.208346,0.133488","52.201476,0.116505",19.6,1624
"52.208346,0.133488","52.222428,0.135906",24.3,1953
"52.208346,0.133488","52.209025,0.118255",15.2,1246
"52.208346,0.133488","52.214511,0.124679",14.1,1144
"52.208346,0.133488","52.210943,0.112564",20.8,1691
"52.208346,0.133488","52.188744,0.138899",33.5,2729
"52.208346,0.133488","52.187377,0.147348",40.4,3330
"52.208346,0.133488","52.229653,0.127701",36.3,2932
"52.208346,0.133488","52.205707,0.134211",6.6,534
"52.208346,0.133488","52.197912,0.123667",19,1553
"52.208346,0.133488","52.204654,0.13277",7.7,629
"52.208346,0.133488","52.213738,0.124159",14.4,1179
"52.208346,0.133488","52.199286,0.139698",18.6,1502
"52.202987,0.138925","52.207449,0.122878",17,1403
"52.202987,0.138925","52.221817,0.118453",39.2,3145
"52.202987,0.138925","52.215658,0.116916",30.4,2424
"52.202987,0.138925","52.20279,0.123446",19.2,1567
"52.202987,0.138925","52.210305,0.144955",19.6,1628
"52.202987,0.138925","52.212441,0.112782",29.4,2370
"52.202987,0.138925","52.204852,0.1402",4.9,416
"52.202987,0.138925","52.2047,0.133197",6.7,552
"52.202987,0.138925","52.204115,0.11827",22.5,1851
"52.202987,0.138925","52.205447,0.128666",11.8,975
"52.202987,0.138925","52.197151,0.12947",14.4,1182
"52.202987,0.138925","52.200312,0.148074",19.8,1646
"52.202987,0.138925","52.194151,0.131287",17.6,1438
"52.202987,0.138925","52.20174,0.124801",14.7,1194
"52.202987,0.138925","52.202564,0.141934",7.9,661
"52.202987,0.138925","52.2281,0.145945",43,3489
"52.202987,0.138925","52.200081,0.113542",28.1,2335
"52.202987,0.138925","52.215347,0.110694",34.5,2758
"52.202987,0.138925","52.19519,0.131527",16.2,1325
"52.202987,0.138925","52.175104,0.112942",51.1,4195
"52.202987,0.138925","52.209395,0.118653",22.4,1837
"52.202987,0.138925","52.207357,0.129475",12,982
"52.202987,0.138925","52.188419,0.152841",34,2839
"52.202987,0.138925","52.201476,0.116505",23.3,1932
"52.202987,0.138925","52.222428,0.135906",32.3,2602
"52.202987,0.138925","52.209025,0.118255",22.8,1871
"52.202987,0.138925","52.214511,0.124679",23,1861
"52.202987,0.138925","52.210943,0.112564",28.3,2316
"52.202987,0.138925","52.188744,0.138899",26.2,2158
"52.202987,0.138925","52.187377,0.147348",31.9,2663
"52.202987,0.138925","52.229653,0.127701",44.3,3581
"52.202987,0.138925","52.205707,0.134211",7.1,557
"52.202987,0.138925","52.197912,0.123667",17.7,1456
"52.202987,0.138925","52.204654,0.13277",8.4,677
"52.202987,0.138925","52.213738,0.124159",23.3,1897
